cards1 cards2 p
s2 h2 0.511801
s3 h3 0.542132
s4 h4 0.569168
s5 h5 0.604215
s6 h6 0.634014
s7 h7 0.667045
s8 h8 0.702435
s9 h9 0.729199
s0 h0 0.748261
sJ hJ 0.780524
sQ hQ 0.790917
sK hK 0.828025
sA hA 0.859225
s2 s3 0.329455
s2 s4 0.346248
s2 s5 0.372088
s2 s6 0.380453
s2 s7 0.375054
s2 s8 0.401301
s2 s9 0.429541
s2 s0 0.453011
s2 sJ 0.471171
s2 sQ 0.501008
s2 sK 0.533927
s2 sA 0.574964
s3 s4 0.36326
s3 s5 0.373816
s3 s6 0.386953
s3 s7 0.393453
s3 s8 0.405727
s3 s9 0.436155
s3 s0 0.464438
s3 sJ 0.485166
s3 sQ 0.503427
s3 sK 0.533927
s3 sA 0.56332
s4 s5 0.402766
s4 s6 0.402557
s4 s7 0.411324
s4 s8 0.420029
s4 s9 0.446665
s4 s0 0.457555
s4 sJ 0.477066
s4 sQ 0.505747
s4 sK 0.558781
s4 sA 0.575733
s5 s6 0.43668
s5 s7 0.428042
s5 s8 0.439853
s5 s9 0.462802
s5 s0 0.46146
s5 sJ 0.494253
s5 sQ 0.526284
s5 sK 0.562999
s5 sA 0.592152
s6 s7 0.446778
s6 s8 0.469136
s6 s9 0.467193
s6 s0 0.489714
s6 sJ 0.507562
s6 sQ 0.53751
s6 sK 0.565654
s6 sA 0.599748
s7 s8 0.474227
s7 s9 0.495261
s7 s0 0.505142
s7 sJ 0.516246
s7 sQ 0.550102
s7 sK 0.579644
s7 sA 0.607951
s8 s9 0.507562
s8 s0 0.513317
s8 sJ 0.554898
s8 sQ 0.543165
s8 sK 0.584682
s8 sA 0.629078
s9 s0 0.544198
s9 sJ 0.55919
s9 sQ 0.582919
s9 sK 0.605869
s9 sA 0.621865
s0 sJ 0.562679
s0 sQ 0.598825
s0 sK 0.615286
s0 sA 0.637018
sJ sQ 0.593606
sJ sK 0.633521
sJ sA 0.657859
sQ sK 0.634427
sQ sA 0.672232
sK sA 0.66841
s2 h3 0.306872
s2 h4 0.316721
s2 h5 0.338956
s2 h6 0.342876
s2 h7 0.341551
s2 h8 0.361293
s2 h9 0.394259
s2 h0 0.409091
s2 hJ 0.442378
s2 hQ 0.467908
s2 hK 0.50948
s2 hA 0.538228
s3 h4 0.338956
s3 h5 0.349878
s3 h6 0.353693
s3 h7 0.361433
s3 h8 0.364171
s3 h9 0.401301
s3 h0 0.415646
s3 hJ 0.456005
s3 hQ 0.49052
s3 hK 0.516552
s3 hA 0.548026
s4 h5 0.365573
s4 h6 0.38432
s4 h7 0.383369
s4 h8 0.392049
s4 h9 0.402766
s4 h0 0.439967
s4 hJ 0.457758
s4 hQ 0.494051
s4 hK 0.527199
s4 hA 0.556463
s5 h6 0.400965
s5 h7 0.390642
s5 h8 0.420356
s5 h9 0.41696
s5 h0 0.440695
s5 hJ 0.471481
s5 hQ 0.508875
s5 hK 0.541413
s5 hA 0.567673
s6 h7 0.422314
s6 h8 0.433819
s6 h9 0.446778
s6 h0 0.465357
s6 hJ 0.478182
s6 hQ 0.5116
s6 hK 0.54575
s6 hA 0.586902
s7 h8 0.45114
s7 h9 0.45879
s7 h0 0.486077
s7 hJ 0.509681
s7 hQ 0.525773
s7 hK 0.552385
s7 hA 0.597234
s8 h9 0.477778
s8 h0 0.504537
s8 hJ 0.517763
s8 hQ 0.541616
s8 hK 0.567146
s8 hA 0.610558
s9 h0 0.526486
s9 hJ 0.542962
s9 hQ 0.561835
s9 hK 0.585462
s9 hA 0.603877
s0 hJ 0.552701
s0 hQ 0.57346
s0 hK 0.592484
s0 hA 0.629702
sJ hQ 0.573902
sJ hK 0.60042
sJ hA 0.640823
sQ hK 0.615286
sQ hA 0.642951
sK hA 0.652367
